sentence,years_found,percentages_found
"Even in the more recent period of 20022006 when the average economic growth rate has been 7.5%, and investment increased by 14.2% on average, productivity rose to a large extent because of imported new machinery alongside some efficiency gains, and the unemployment rate has stubbornly remained uncha","2002, 2006","7.5%, 14.2%, 10%, 10.3%, 9.9%"
The employment growth rate in the same period was again also 0.8%.87 Fast growth with low employment means fast productivity growth.,,0.8%
"The two most recent economic programmes, especially the 2001 one, have replaced the previous undifferentiating forms of general agricultural subsidies with more targeted instruments.",2001,
Agricultural employment dropped from around 8.1 million in 2001 to just over 6 million in 2006.,"2001, 2006",
"In the same period, non-agricultural employment increased by an average of 3.9% per year and industrial employment by 3.1% per year.",,"3.9%, 3.1%"
"From 2003 to 2006, the number of unemployed remained level despite the increase in the working age population of around four million, which makes for an increase of one million people a year.","2003, 2006",
"Net agricultural job losses have been 330 thousand per year, which makes net job creation 245 thousand a year between 2003 and 2006.","2003, 2006",
"Assuming that the overall unemployment rate of approximately 10% also applies to these new entrants instead of the higher nonagricultural unemployment rate of 12.6%, these figures imply that, out of the potential 4 million, 2.22 million participated in the labour force; labour force participation in",,"10%, 12.6%, 55.5%"
"This figure is higher than the overall labour force participation rate of 49%, so there has been a rise.",,49%
"A 60% participation rate would have implied 2.4 million participants with 400,000 out of work (17% unemployment rate) and a 70% participation rate – a Lisbon goal - would have implied 2.8 million participants with 800,000 out of work (a 36% unemployment rate) in this period for the new entrants.",,"60%, 17%, 70%, 36%"
"As also indicated in a recent report: “Population growth keeps outpacing employment growth in Turkey and educated young people have difficulty in finding jobs.” (World Bank, 2006, p.",2006,
"Keeping people in the agriculture 59 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 4 sector is not a solution, however, as gross value added per worker in agricultural is less than one-third of the rest of the economy, i.e., industry and services.",2008,
"The average years of schooling in Turkey is still less than six years (twelve now in South Korea, both countries had similar per capita incomes at the beginning of the 1960’s).",1960,
"The overall labour force participation rate for women in Turkey is the lowest, compare to EU countries (25%).",,25%
"In 2007, 1.5 million young people applied to the ‘Public Service Personnel Selection Exam’ (KPSS).",2007,
"Although the establishment of the KPSS in 1999 has improved the situation, complaints about some aspects of the system relating to hiring public personnel have not disappeared since then, and the process continues with people voicing grievances, even if on a smaller scale.",1999,
60 HUMAN DEVELOPMENT REPORT / TURKEY 2008 4 Turkey is likely to continue having employment creation bottlenecks.,2008,
"The country would have to create 13 million new jobs by 2010 to reach the Lisbon target of 70% employment rate, which, it must be pointed out, constitutes a very high target rate indeed!89 Its current workforce is 25 million.",2010,70%
The first one was the big 2001 economic crisis referred to earlier.,2001,
Turkish firms were forced to utilize their existing workforce better by investing in machinery and equipment from 2002 onwards...,2002,
"According to the latest data, youth between the ages of 15 to 24 account for about 17% (around 12 million) of Turkey’s population of about 72 million in 2007.",2007,17%
"By 2040, the only rising proportion of the population will belong to the 65 year-olds and above.",2040,
"Therefore, 2040 will mark the end of the Turkish demographic window of opportunity.",2040,
"In Turkey, in 2006, 15-24 year-olds made up 18.5% (4.6 million) of the total labour force of 24.8 million.",2006,18.5%
"In contrast, young unemployed make up 35% (858 thousand) of the total number of unemployed.",,35%
They make up 16.7% of the total employed.,,16.7%
Current non-agricultural 61 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 4 employment growth rates will not be sufficient to absorb this surplus.,2008,
This problem is expected to peak around 2015-2020 before demographic pressures start to ease.,"2015, 2020",
"At present, the overall participation rate in Turkey keeps falling; it is now 48%.",,48%
"In 2006, the urban participation rate is lower at 45.5%.",2006,45.5%
Female participation is very low at 24.9%.,,24.9%
The labourforce participation rate for youth is 38%.,,38%
Ercan finds that the most significant coefficient for women’s LFPR in a cross-country econometric examination is the tertiary enrolment rate.90 Women who are secondary school graduates are natural candidates for ALMP measures because their labour force participation rate is only 30.6% (2006).,2006,30.6%
62 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Table 4.1a.,2008,
"ratio Nonparticipants Male Illiterate 1,026 415 371 44 40.4% 10.6% 18.7 36.2% 611 Literate, no diploma 1,341 679 601 78 50.6% 11.5% 17.7 44.8% 662 Primary 10,376 8,024 7,289 735 77.3% 9.2% 11.6 70.2% 2,352 Junior high and junior voc.",,"40.4%, 10.6%, 36.2%, 50.6%, 11.5%, 44.8%, 77.3%, 9.2%, 70.2%"
"2,887 2,395 2,151 244 83.0% 10.2% 11.4 74.5% 492 High school 3,233 2,194 1,947 247 67.9% 11.3% 12.0 60.2% 1,039 Vocational high 2,460 1,996 1,812 184 81.1% 9.2% 9.8 73.7% 464 College 2,395 2,014 1,857 157 84.1% 7.8% 7.9 77.5% 381 Eight-year compulsory 1,883 581 492 89 30.9% 15.3% 18.1 26.1% 1,302 To",,"83.0%, 10.2%, 74.5%, 67.9%, 11.3%, 60.2%, 81.1%, 9.2%, 73.7%, 84.1%, 7.8%, 77.5%, 30.9%, 15.3%, 26.1%, 71.5%, 9.7%, 64.5%, 16.2%, 1.3%, 16.0%, 19.5%, 4.2%, 18.7%, 23.1%, 6.7%, 21.6%"
"1,505 360 305 55 23.9% 15.3% 19.5 20.3% 1,145 High school 2,351 663 511 152 28.2% 22.9% 25.0 21.7% 1,688 Vocational high 1,350 500 395 105 37.0% 21.0% 21.9 29.3% 850 College 1,510 1,054 917 137 69.8% 13.0% 13.1 60.7% 456 Eight-year compulsory 1,557 219 191 28 14.1% 12.8% 23.5 12.3% 1,338 Total 26,06",2006,"23.9%, 15.3%, 20.3%, 28.2%, 22.9%, 21.7%, 37.0%, 21.0%, 29.3%, 69.8%, 13.0%, 60.7%, 14.1%, 12.8%, 12.3%, 24.9%, 10.3%, 22.3%"
Eight-year compulsory education went into effect in 1997.,1997,
"ratio Nonparticipants Male Illiterate 95 37 29 8 38.9% 21.6% 25.3 30.5% 58 Literate, no diploma 336 162 131 31 48.2% 19.1% 22.9 39.0% 174 Primary 732 623 522 101 85.1% 16.2% 18.5 71.3% 109 Junior high and junior voc.",,"38.9%, 21.6%, 30.5%, 48.2%, 19.1%, 39.0%, 85.1%, 16.2%, 71.3%"
"605 500 414 86 82.6% 17.2% 19.6 68.4% 105 High school 1,268 493 382 111 38.9% 22.5% 25.2 30.1% 775 Vocational high 708 468 388 80 66.1% 17.1% 18.7 54.8% 240 College 248 192 143 49 77.4% 25.5% 26.2 57.7% 56 Eight-year compulsory 1,882 580 491 89 30.8% 15.3% 18.0 26.1% 1,302 Total 5,874 3,055 2,500 55",,"82.6%, 17.2%, 68.4%, 38.9%, 22.5%, 30.1%, 66.1%, 17.1%, 54.8%, 77.4%, 25.5%, 57.7%, 30.8%, 15.3%, 26.1%, 52.0%, 18.2%, 42.6%, 12.8%, 4.3%, 12.3%, 17.7%, 8.5%, 16.2%, 25.6%, 10.1%, 23.0%"
"423 120 97 23 28.4% 19.2% 26.7 22.9% 303 High school 1,112 269 188 81 24.2% 30.1% 34.4 16.9% 843 Vocational high 505 213 150 63 42.2% 29.6% 31.2 29.7% 292 College 276 205 145 60 74.3% 29.3% 29.9 52.5% 71 Eight-year compulsory 1,553 218 190 28 14.0% 12.8% 23.6 12.2% 1,335 Total 6,226 1,534 1,232 302 ",2008,"28.4%, 19.2%, 22.9%, 24.2%, 30.1%, 16.9%, 42.2%, 29.6%, 29.7%, 74.3%, 29.3%, 52.5%, 14.0%, 12.8%, 12.2%, 24.6%, 19.7%, 19.8%"
"For women this difference is huge, ten percentage points in the primeage group of 25-44, for example.92 That is, the current female LFPR of 25% should have been 35%.",,"25%, 35%"
"Only by 2030 will Turkish female LFPR trajectory have settled to what it should be, given the expected trends in per capita income and education levels.",2030,
"In Turkey, 22.3 million people were employed in 2006 (see Table 4.2).",2006,
The Turkish employment rate is a low 43.2%.,,43.2%
Agricultural employment is currently 29% of total employment; manufacturing employment is 19%; construction is 6%; most working people are in services.,,"29%, 19%, 6%"
The 15 to 24 year olds were 18.5% of the Turkish labour force in 2006 (see Tables 4.2 and 4.3).,2006,18.5%
Close to 40% of unemployed young people are first-time job seekers.,,40%
"64 HUMAN DEVELOPMENT REPORT / TURKEY 2008 4 Unemployment LFPR (%) Employment rate (%) Nonparticipants Civilian population 15+ Civilian population Labour force Employment Under employment Unemployment rate (%) Non-agricultural unemployment rate (%) Under employment rate (%) Year TOTAL 1990 OCT 55,580","2008, 1990, 1995, 2000, 2005, 2006, 1990, 1995, 2000, 2005, 2006, 1990, 1995, 2000, 2005, 2006",
Summary: Labour force statistics of the civilian population by gender Source: TURKSTAT Household Labour Force Survey results 65 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 4 Unemployment LFPR (%) Employment rate (%) Nonparticipants 15 - 24 Civilian population Labour force Employment Under employment Unem,"2008, 1990, 1995, 2000, 2005, 2006, 1990, 1995, 2000, 2005, 2006, 1990, 1995, 2000, 2005, 2006",
"Summary: Labour force statistics of the young population of 15-24 years of age, by gender Source: TURKSTAT Household Labour Force Survey results 66 HUMAN DEVELOPMENT REPORT / TURKEY 2008 4 Part of the reason for this outcome may be that the more educated youth are likely to have higher wage expectat",2008,
"Youth unemployment duration highlights Long-term unemployed people (unemployed for over a year) comprise 37.5% of the total of unemployed, and this proportion is rising.",,37.5%
Only 38% of those who have joined the labour market worked more than six months in any one job.,,38%
"The biggest portion of people who are laid off from jobs is the youth with low socioeconomic status, by 30.8%.",,30.8%
It gives the percentage distribution of unemployment duration by gender for the 2000-2001 LFS raw data.,"2000, 2001",
These figures are 16% for men and 25.3% for women.,,"16%, 25.3%"
"Taşcı and Tansel also report that the highest percentage of the long-term unemployed comprises secondary school and vocational secondary school graduates, 24.8% and 20.6%, respectively.",,"24.8%, 20.6%"
"The lowest percentage of the long-term unemployed comprises non-graduates and junior secondary school graduates, 10.9% and 15.3%, respectively.",,"10.9%, 15.3%"
"67 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 4 Number Less than 3 months (percent) 3-5 months 6-8 months 8-11 months Over a year Male 2,066 36.8 33.3 10.8 3.3 15.9 Female 1,152 30.5 27.0 13.1 4.2 25.3 Table 4.4.",2008,
"Unemployment duration for youth, by gender in Turkey, 2000-2001 Source: Taşcı and Tansel, 2005, Table 1, p.","2000, 2001, 2005",
"In the framework of the comprehensive long-term Technical Cooperation (1992 – 2007) between ILO/IPEC and Turkey, the Government has developed a wide-ranging policy and programme, clearly identifying national priorities and objectives for the elimination of child labour in Turkey.","1992, 2007",
"A nation-wide “Child Labour Survey” was conducted by the Turkish Statistics Institution (TURKSTAT) in 2006, supported by ILO/IPEC.",2006,
"According to this survey, which is a follow-up to earlier surveys conducted in 1994 and 1999, the incidence of child labour continues to fall.","1994, 1999",
"According to the results of the three surveys, the proportion of working children (age group 6-17) was 15.2% in 1994, dropping to 10.3% in 1999 and to 5.9% in 2006.","1994, 1999, 2006","15.2%, 10.3%, 5.9%"
"In the age group of 6-14, 320,000 children out of 12,478,000 were working in 2006.",2006,
"Comparing this figure to data obtained from the 1999 survey, the proportion of children in this group who work decreased from 5.1% to 2.6%.",1999,"5.1%, 2.6%"
"The recent survey indicates that of all working children, 41% are employed in agriculture, 28% in industry, 22% in trade and 9% in services.",,"41%, 28%, 22%, 9%"
"It is hoped that some 30% of early adolescents between the ages of 10–14 years who dropped out or never enrolled in school will be able to catch up on their education and will complete their basic education, while improving their chances to access to secondary education.",,30%
"by ILO/TURKEY and UNICEF/Turkey 68 HUMAN DEVELOPMENT REPORT / TURKEY 2008 4 Enhancing the qualification level of the labour force, starting with the cohort of the next entrants, constitutes a crucial question for the youth and the Turkish labour market as has been illustrated in the previous section",2008,
Education connection (95%).,,95%
"The move from five to eight years of compulsory schooling required, on average, an expenditure of US$ 3 billion per annum since 1997.96 This may be a good indicator of the required expenditure for a transition to 12-year compulsory education.",1997,
"A recent OECD report98, just like the World Bank’s 2006 education sector report that preceded it, criticized the Turkish education system.",2006,
"Since standard secondary schools are only geared towards providing access to 69 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 4 the much-desired tertiary education, industry demand for vocational skills is not met.",2008,
"The European Training Foundation (ETF) produced a review of the vocational education and training system of Turkey, at the end of 1999.",1999,
This report concluded (as outlined in European Commission’s Regular Report of 2000 on Turkey’s progress towards accession) “a clear link between the requirements of the labour market and the skills acquired by the gradu-ates of the vocational schools is needed”.,2000,
"Although female enrolment was initially very limited in these schools (1% in 1975), over time female enrolment proportions have reached the same levels as the ratio of girls in standard high schools.99 Both male and female enrolment in religious vocational secondary schools increased extensively.",1975,1%
"At their peak in 19961997, they had an enrolment of over 510,000 students, 193,000 of whom were in the senior secondary school section and accounted for about 20% of corresponding vocational and technical secondary schools.",,20%
"Starting with the 1999-2000 school year, however, new regulations for nationwide university entrance examination made it very hard for vocational school graduates to further their education in subjects that are unrelated to their vocational high school background.","1999, 2000",
"In 1997 with the introduction of the eightyear compulsory schooling, only the formerly senior secondary school sections of the Imam Hatip schools remained.",1997,
"By 2000-2001, the number of students enrolled in these religious vocational high schools was down to 65,000, around 7% of the total.","2000, 2001",7%
"This number had risen to 96,000 in 2004.100 The discussions on the matter continue to date.",2004,
"A weakness of the system appears to have been the lack of strategic planning by responsible authorities102, who seem to have been very slow in responding to changes.103 MoNE (Ministry of National Education) does not seem to use any substantive labour market projections or 70 HUMAN DEVELOPMENT REPORT",2008,
"There are more unemployed vocational school graduates, compared with the same age group’s unemployment rate in 2002 (13.5% vs.",2002,13.5%
11.4%).104.,,11.4%
"The Turkish Enterprise and Business Confederation (TURKONFED) jointly published with Sabancı University’s “Education Reform Initiative’, a report entitled ‘Skills, Competencies and Vocational Education: Policy Analysis and Proposals” in November 2006.",2006,
"71 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 4 hand, popular tourist destinations could be promoted by vocational tourism schools and programmes.",2008,
It accounts for 70% of the total rural employment.,,70%
"However, almost 90% of women work in agriculture, most of them as unpaid family workers.",,90%
"The share of agricultural employment has been steadily declining, now down to 27% of employment.",,27%
It is currently 6.7%.,,6.7%
"In 1950, the proportion of the rural population started to fall for the first time in the history of Turkey.",1950,
It was 75% at the time.,,75%
72 HUMAN DEVELOPMENT REPORT / TURKEY 2008 4 created in addition to the vast modernisation of agriculture and emerging rural industries in large rural areas.,2008,
"The Turkish population is still growing, the median education level is a low six years (despite the 8-year compulsory education) that renders active labour market policies less effective, and almost 30% of the population is still rural although this share is declining.",,30%
The trend is relatively slow but surely in favour of reducing considerably rural employment as pointed out above and the related internal 73 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 4 migration is a phenomenon with a large young age component.,2008,
74 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Chapter 5 PARTICIPATION “To engage in dialogue and joint decision making means to be willing to change the adult ways and experiment with new solutions...,2008,
"Noam, Editor-in-Chief, New Directions for Youth Development Journal 77 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 5 promotes active participation in social life where rights and responsibilities of the citizenry are clear then it is most likely that that child will grow to support the democratic system ",2008,
"DIFFERENT LEVELS OF PARTICIPATION Source: Nicola Ansell, Children Youth and Development Increasing degrees of participation Non-participation 78 HUMAN DEVELOPMENT REPORT / TURKEY 2008 5 In Turkey the young generations usually cannot find an environment within their families or closest social circles",2008,
The participation of youth is low even in decisions about everyday matters such as determining what TV channel to watch (55%) and the nature of time spent together (52%).,,"55%, 52%"
This rate falls to 43% in economic issues concerning the family.,,43%
"No education system can provide adequate educational and moral backing to young generations for their proper democratic socialization into public life as long as corruption, irresponsiveness and unaccountability are rampant in the 79 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 5 system.",2008,
There were only 35 people in the 30-35 age group who were elected to the 2002-2007 parliament of 550 deputies.,"2002, 2007",
This number decreased to only 19 people after the 22 July 2007 elections.,2007,
"“Those who protect only themselves and their relatives”, “those who don’t do much for the people” and “they are not telling the truth” are statements often used by youth when describing politicians...109 According to the State of Youth Survey the rate of youth who are currently active in a political",,4.7%
Three-fourths of the remaining 95.3% are not considering taking part in any political party in the future.,,95.3%
"to be elected in 1935, years before many European countries did, but the number of women in the parliament is still very low.111 It is important to be able to give youth their rights not just on paper but also in actual implementation.",1935,
80 HUMAN DEVELOPMENT REPORT / TURKEY 2008 5 BOX 5.4.,2008,
UNV was designated by the General Assembly resolution in 1976 as the major operational unit of the UN for the execution of youth programmes.,1976,
"Subsequently, resolutions in 2001, 2003 and 2006 went further to recommend specific initiatives for encouraging and facilitating youth volunteering.","2001, 2003, 2006",
"115 However, among those who participated in the State of Youth Survey the rate of young people who are members of a nongovernmental organization is only 4% in Turkey.",,4%
About 46% of these are either university students or graduates.,,46%
"With persistence and determination...”116 81 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 5 NGOs teach youth many things regarding tolerance towards youth and respect for differences: “Before, I couldn’t tolerate different points of view.",2008,
"VOLUNTARY ACTIVITIES IN TURKEY Following the 1999 earthquake, Turkey witnessed the difference that can be made with the mobilization of hundreds and thousands of volunteers.",1999,
"While there were voluntary activities in only two branches in 2003, this number rose to 207,000 volunteers in 649 branches in 2007.","2003, 2007",
"NGOs transform volunteer or professional youth who work within these 82 HUMAN DEVELOPMENT REPORT / TURKEY 2008 from 1,476 projects organized by youth between 2003 and 2007.","2008, 2003, 2007",
120 Such projects in which these young people are involved are in fact the reflection of the dynamic effects of the European Union process.121 It has already been mentioned that only 4% of the youth who participated in the State of Youth Survey were members of NGOs.,,4%
"However, in Turkey the rate of youth who speak a foreign language adequately so as to be able to read a publication is 28.4%.122 Regional differences should not be forgotten either.",,28.4%
THE DISTRIBUTION OF NATIONAL AGENCY PROJECTS ACCORDING TO CITIES (2003-2007) organizations into enterprising individuals.,"2003, 2007",
"For example, through the support of the National Agency that is the implementer in Turkey of the Youth Programmes under the framework of European Communities Programme, almost 20,000 people benefited Source: National Agency YOUTH PROJECTS 2007 83 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 5 gap between ","2007, 2008",
"YOUTH COUNCILS ARE BEST PRACTICES IN INVOLVING YOUTH IN THEIR CITIES’ AFFAIRS In Turkey, 73 youth councils and 35 youth centres have been established in almost all provinces under the Local Agenda 21 (LA 21) Programme supported by UNDP since 1997.",1997,
Youth councils culminated in the establishment of the Local Agenda 21 National Youth Parliament in 2003.,2003,
"In particular, the “City Council”, as the main city-wide participatory platform of the LA-21 processes, has been incorporated in Article 76 of the new Law on Municipalities (enacted in July 2005).",2005,
"But despite their frustrations, youth workers say that seeing “youth who involve in these activities and changing themselves and 84 HUMAN DEVELOPMENT REPORT / TURKEY 2008 5 BOX 5.8.",2008,
Chapter 6 VISION FOR THE FUTURE “We can’t solve problems by using the same kind of thinking we used when we created them.” Albert Einstein 87 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 6 CHAPTER 6 VISION FOR THE FUTURE 6.1.,2008,
Time for another leap in Turkey Turkey has a 15-year window of demographic opportunity to prepare today’s youth for the challenges of 2023 and beyond.,2023,
"By then, about 70% of Turkey’s population will be of working age and the working-age population of Turkey will be increasing, though at a decreasing rate, until 2040.123 This so-called demographic transition, when the population growth rate is declining while the working age population keeps rising ",2040,70%
Young people of today will also form the majority of decision-makers and implementers by the year 2023.,2023,
"When the Turkish Republic was founded in 1923, Turkey’s resources were depleted by years of continuous warfare that preceded the War of Independence.",1923,
"Its population at that time was 13 million, and more than 75% of the population lived in rural areas.",,75%
"In 2008, 85 years after its foundation, Turkey’s population is 70.5 million according to the 2007 Population Census and only 30% of the population lives in rural areas.","2008, 2007",30%
The literacy ratio in the 1920s was only 10%; today the illiteracy ratio is 10%.,,"10%, 10%"
"During the 1923-24 school year, there were 360 thousand students at school at all levels124 and there were only 321 graduates from the Turkish universities.",1923,
Manufacturing industry accounted for 2% of national income.,,2%
The country is now an important industrial exporter with total exports exceeding US$ 100 billion.125 Turkey had 1.1 telephones and 0.3 cars per one thousand persons back in 1923.,1923,
Turkey has grown continuously in the twenty-four quarters during 2002-2007.,"2002, 2007",
"However, there are many significant items on Turkey’s unfinished agenda until it reaches its 100th birthday in 2023 to use its considerable potential productively in the era of increasingly internationalising and globalising knowledge economy and to achieve the level of development and welfare it is",2023,
"Issues of Human Development, income distribution, social solidarity, human and social security, and human rights need to 88 HUMAN DEVELOPMENT REPORT / TURKEY 2008 6 edition).",2008,
"The number of 15-64 year-olds, those of the working age, would reach its peak of 64.8 million in 2040.",2040,
The old age dependency ratio will rise swiftly from single digits in 2020 to 18% in 2050.,"2020, 2050",18%
"The number of young people in the age bracket of 15 to 24, after reaching a high point of 13.7 million in 2010, will start to diminish.",2010,
Young population will start decreasing after 2010 are well-defined goals to reach.,2010,
"Just like 191 countries -including Turkeycame together in the Millennium Summit in the year 2000 and committed themselves to realize the Millennium Development Goals (MDGs) they set together; Turkey, apart from general MDGs, is in need of setting a broad range of specific goals in order to realize a",2000,
"For instance, The Scientific and Technological Research Council of Turkey (TÜBİTAK) has been working on a “Vision 2023” project which was helpful in preparing this chapter.",2023,
"MILLENNIUM DEVELOPMENT GOALS In the Millennium Summit of September 2000, 191 nations have pledged to achieve the Millennium Development Goals, including the overarching goal of cutting poverty in half by 2015.","2000, 2015",
"Thus, a projection to the year of 2023 might be helpful in seeing the missing ingredients for an even brighter future.",2023,
"In the 1970s, the average birth rate was 3.5%.",,3.5%
Today it is 1.26%.,,1.26%
"Despite decreasing birth rates, the population in Turkey grew twice its size since 1970s and it will continue to grow but at a slower pace.126 Rapid population growth rates now belong to the past and this process is irreversible, a direct consequence of which is the inevitable change in the age stru","2040, 2006, 2008, 2050",12%
"By 2040, there will be more old people who are over 65 than there are young people who are 15 to 24 years old.",2040,
"Thus, the year 2023 will see Turkey as a ‘middle-aged’ country.",2023,
This makes it a must to address today’s young people that will make up most of the middle-aged in 2023.,2023,
About 70% of Turkey’s population lives in urban areas: Urban population has increased from 14 million in 1970 to 48 million today.,1970,70%
"Between 1990 and 2000, the city population of Turkey increased by about nine million.","1990, 2000",
Half of this increase between 1990 and 2000 came directly from rural-urban migration.,"1990, 2000",
"However, their population now constitutes less than 10% of the total Turkish population.",,10%
By 2025 population growth rate is expected to be 0.8%.,2025,0.8%
"By 2025, it is expected to be 1.5%.",2025,1.5%
"• After 2025, policies will start focusing on adults and elderly people.",2025,
"By 2025, it will be 0.8%.",2025,0.8%
• The child mortality rate will decrease but it is likely to be higher than in many developed countries in 2025.,2025,
90 HUMAN DEVELOPMENT REPORT / TURKEY 2008 6 6.3.,2008,
"For Turkey’s 12 million youth who will be of working age by 2020, both quantity and quality are big challenges.",2020,
"by Üner Kırdar, 2007 Beyond individual sectors the globalising knowledge economy is becoming predominant and leading to deep transformations in every field.",2007,
"91 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 6 Unfortunately, Turkish compulsory schooling level is eight years.",2008,
A move to 12 years of compulsory schooling would require about twice that many students being enrolled in about a decade to reach close to universal 95% enrolment rate.,,95%
While 72% of primary schools are in rural areas only 27% of primary school-age children live in rural areas.134 Another priority is to ensure that all children have access to quality early childhood education as already underlined above.,,"72%, 27%"
Increasing net enrolment ratios especially for secondary and tertiary education is a must but investments and actions taken between now and 2023 will not affect those who will be over 45 by 2023.,"2023, 2023",
"Thus, when making projections it is better to concentrate more on the population that will be in the 25-45 range by 2023, i.e.",2023,
The increasing schooling ratio will show its effects starting from 2015 because those who are out of school today do not have the chance to go back to school.,2015,
"However policies addressing out-of-school youth such as extensive and certified training courses, e-learning, distant learning and peer training can have a vital role in order to increase capabilities of the population by 2023.",2023,
"On the other hand, protecting the environment and the climate can themselves constitute most suitable target areas for further scientific and 92 HUMAN DEVELOPMENT REPORT / TURKEY 2008 6 technological progress and such technologies could well become one of the main driving forces of the knowledge eco",2008,
"Globally, investment in research and development was doubled since 1990, and 80% of this expenditure came from developed OECD countries.137But countries like China and India are catching up fast.",1990,80%
Turkey’s Research and Development expenditures have increased from 0.6% of GDP only a few years ago to 1% of GDP and now amount to US$ 300 million.,,"0.6%, 1%"
"In a broader context, Vision 2023 of The Scientific and Technological Research Council of Turkey (TÜBİTAK) mentioned above set strategic goals such as: • Increasing pre-school enrolment over 50% by 2023 • Making the primary school enrolment rate 100% • Making secondary education compulsory and ensur","2023, 2023","50%, 100%, 100%, 50%"
"• Enrolment ratios should be increased especially in pre-school and higher 93 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 6 benefit of entering the labour market on the right foot, young people are less able to make choices that will improve their own job prospects and those of their future dependents.",2008,
"ILO and other United Nations agencies as well as the World Bank joined forces to create the Youth Employment Network (YEN).139 Turkey showed its commitment to the youth employment issue by becoming a lead country of the YEN in February 2006.140 Also in 2007, Turkey agreed in principle to implement I","2006, 2007",
The youth unemployment rate currently stands at 17-18%.,,18%
"At present, a little above 10% of the service sector is the high-end financial, health or teaching professions that requires university degrees.",,10%
"“Without the The education system as a whole and all of its individual components, including vocational education and life-long learning, need to be further restructured and improved toward very high and competitive as well as broadly accessible quality to adapt and contribute to the knowledge econo",2023,
Employment is the most critical issue 94 HUMAN DEVELOPMENT REPORT / TURKEY 2008 6 Economically prosperous countries attract young people from all over the world.,2008,
"It is estimated that without further immigration, the labour force in Europe, Russia and high-income East Asia and Pacific will fall by 43 million between 2005 and 2025.141 In summary, an action plan concerning employment may include the following points of focus: • Increasing qualifications of the ","2005, 2025",
"There is a lack of age-disaggregated data regarding poverty but it is estimated that almost one in five young people –roughly 18% of young people worldwide—live on less than US$ 1 per day and almost 45%, 515 million young people, live on less than US$ 2 per day.142 There are also a huge number of “i",,"18%, 45%"
"According to TURKSTAT data for 2001 composed of 26 Level 2 Statistical Regional Units, the three poorest such units and the corresponding index numbers (Turkey=100) are: (Ağrı, Ardahan, Iğdır Kars), 34; followed by: (Bitlis, Hakkari, Muş, Van), 35; and then by (Batman, Mardin, Siirt, Şırnak), 46.",2001,
"The 95 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 6 richest three units are the following: (Bolu, Düzce, Kocaeli, Sakarya, Yalova), 191; (Izmir), 150; and (Istanbul), 143.",2008,
"According to projections made by the World Bank if there is no change in inequality in five years (2005-2010), and no increase in consumption, then poverty in Turkey will stay at the same level of 27%.145 Yet, if inequality dropped only 1%, poverty will fall down to 24.7%.","2005, 2010","27%, 1%, 24.7%"
"A 1% growth in consumption combined with a 1% decrease in inequalities reduces poverty to 22.1%.146 Poverty comes as a package, as also stated above.",,"1%, 1%, 22.1%"
"Yet of course, economic growth can provide necessary funds for the State to combat poverty and enhance equality in terms of access to opportunities.149 The Long-term Development Strategy (2001- 96 HUMAN DEVELOPMENT REPORT / TURKEY 2008 6 2023) developed by the State Planning Organization has a stron","2001, 2008, 2023",
"97 TURKEY 2008 / HUMAN DEVELOPMENT REPORT ANNEXES ANNEX ONE Turkey: Selected key statistics Population and Demography 152 Population (2007) 70,586, 256* Percentage of the Population Aged 0-14 (2007) 27.71* Life Expectancy at Birth (Years)- Total 71.3 Life Expectancy at Birth (Years)- Women 73.8 Life","2008, 2007, 2007, 2007, 2007, 2008, 2008, 2001, 2008, 2008, 2008","727 %, 38.1%, 24.3%, 52.9%, 30.5%, 19.8%"
"The survey was conducted among 3,322 young individuals aged 15-24 in the provinces of Istanbul, Ankara, Izmir, Bursa, Tekirdağ, Adana, Samsun, Diyarbakır, Kayseri, Trabzon, Malatya and Erzurum between 10 May 2007 and 10 July 2007.","2007, 2007",
The Method The questionnaire items were composed in two series of workshops held together with the author team of the 2008 National Human Development Report and experts.,2008,
"All the questionnaires were checked through logic control, while ANNEX THREE Methodology of the quantitative survey 102 HUMAN DEVELOPMENT REPORT / TURKEY 2008 30% of the questionnaires were checked through re-asking the interviewees certain questions on the phone by the supervisors.",2008,30%
"Sample Population of Turkey was 67,803,927 at the time of the 2000 Census.",2000,
The projected figure for 2007 is over 70 million.,2007,
"Turkey, which is one of the most populated countries of Europe, 103 TURKEY 2008 / HUMAN DEVELOPMENT REPORT draws attention with its young population.",2008,
